,n,scheduler,st_1,st_2,st_3,wt_1,wt_2,wt_3,tat_1,tat_2,tat_3
90,45001,rr,1.0,5.2,7.8,16853.5,769.7,796.3,62921.5,1184.1,1153.8
91,45001,fcfs,0.9,8980.7,10210.9,0.9,8980.7,10210.9,8974.3,10208.9,11671.1
92,46001,rr,1.1,5.7,8.3,19216.1,1512.7,1444.0,70915.3,1957.7,1958.2
93,46001,fcfs,1.0,6422.6,7574.3,1.0,6422.6,7574.3,6419.8,7573.0,9332.6
94,47001,rr,1.2,6.2,8.8,7670.2,955.9,963.0,31979.2,1216.5,1217.1
95,47001,fcfs,0.9,3939.9,5134.8,0.9,3939.9,5134.8,3936.8,5134.0,6863.8
96,48001,rr,1.3,5.9,8.0,6805.4,922.1,929.5,28092.6,1230.0,1224.3
97,48001,fcfs,0.7,6356.3,7629.2,0.7,6356.3,7629.2,6353.4,7628.0,9263.2
98,49001,rr,0.9,4.3,6.5,17798.1,1058.4,849.6,65475.0,1357.0,1142.1
99,49001,fcfs,1.0,6406.0,7819.5,1.0,6406.0,7819.5,6403.2,7772.3,9628.1
100,50001,rr,0.9,4.7,6.9,18389.4,656.5,646.1,68322.4,1002.8,1010.0
101,50001,fcfs,0.8,8021.8,9311.9,0.8,8021.8,9311.9,8013.7,9310.0,10806.3
102,51001,rr,0.9,4.7,6.9,8120.8,856.7,917.5,31106.2,1190.2,1197.2
103,51001,fcfs,0.8,4888.0,6337.1,0.8,4888.0,6337.1,4879.4,6335.2,7775.5
104,52001,rr,0.9,4.4,6.6,23429.4,884.5,958.0,88989.9,1226.1,1234.9
105,52001,fcfs,1.0,5643.3,7357.6,1.0,5643.3,7357.6,5640.2,7356.7,8887.9
106,53001,rr,0.8,4.4,6.6,21072.3,855.8,1064.8,68828.4,1096.7,1456.6
107,53001,fcfs,0.8,7114.0,8259.1,0.8,7114.0,8259.1,7111.1,8258.3,9921.4
108,54001,rr,1.1,5.4,7.7,8595.0,998.0,1427.4,34333.1,1266.0,1919.4
109,54001,fcfs,0.9,7453.4,8661.1,0.9,7453.4,8661.1,7450.6,8660.1,10232.9
110,55001,rr,1.1,5.7,7.9,25359.8,1053.1,976.8,92909.5,1382.2,1376.2
111,55001,fcfs,0.8,5930.3,7119.6,0.8,5930.3,7119.6,5926.9,7118.6,8901.7
112,56001,rr,1.3,6.8,10.5,9847.0,772.9,774.2,36022.0,1003.9,1011.1
113,56001,fcfs,0.8,8881.7,10053.9,0.8,8881.7,10053.9,8878.9,10053.2,11673.2
114,57001,rr,0.9,4.6,6.9,17272.0,894.2,922.5,65801.2,1208.0,1208.8
115,57001,fcfs,0.8,6672.4,7991.8,0.8,6672.4,7991.8,6669.7,7991.0,9588.2
116,58001,rr,1.1,5.9,8.0,21349.7,1705.4,1630.4,75619.8,2235.6,2144.9
117,58001,fcfs,0.8,7549.2,8615.4,0.8,7549.2,8615.4,7546.4,8614.5,10006.2
